_ID_,mag[0],mag[1],mag[2],time
1459,1.47647762,5.42472649,-3.76142859,213.44877539318986
1464,1.46339524,5.4376359,-3.7426362,213.45877539366484
1475,1.47656596,5.43114138,-3.76129413,213.47877539461479
1481,1.48981452,5.45066118,-3.75511956,213.48877539508976
1489,1.47979498,5.44103003,-3.74597573,213.49884252948686
1500,1.44717145,5.42747688,-3.76374197,213.51884253043681
1505,1.48292005,5.43799877,-3.73699474,213.52884253091179
1510,1.46333706,5.41812515,-3.76126075,213.53884253138676
1521,1.49934614,5.42829847,-3.75883007,213.55884253233671
1528,1.48945725,5.41849232,-3.76184392,213.56884253281169
1531,1.47652042,5.43773222,-3.74900675,213.57884253328666
1537,1.47337615,5.43425989,-3.76419616,213.58884253376164
1543,1.46342182,5.42454147,-3.76113105,213.59881811542436
1558,1.47975647,5.42802334,-3.75839186,213.62881811684929
1563,1.47601342,5.39923477,-3.74978137,213.63881811732426
1568,1.48930776,5.41216326,-3.75589371,213.64881811779924
1578,1.45978439,5.40867329,-3.74618077,213.66881811874919
1583,1.4732933,5.42784309,-3.76432276,213.67881811922416
1589,1.4794395,5.40886164,-3.75269771,213.68881811969914
1597,1.50190103,5.38685608,-3.74454188,213.69879370136186
1605,1.45721209,5.44361115,-3.76667452,213.70877294940874
1609,1.47018063,5.45697641,-3.74239206,213.71877294988371
1615,1.47650278,5.43122816,-3.75521231,213.72877295035869
1620,1.46684086,5.45376587,-3.73934388,213.73877295083366
1629,1.47282505,5.40235329,-3.75268102,213.74877295130864
1634,1.46993411,5.41812944,-3.767483,213.75877295178361
1640,1.48600829,5.42195988,-3.74042702,213.76877295225859
1645,1.47001982,5.42454529,-3.76735234,213.77877295273356
1651,1.47299516,5.41518497,-3.75242138,213.78877295320854
1657,1.47954452,5.42178059,-3.74635887,213.79876928729936
1668,1.47263086,5.40261459,-3.734442,213.81876928824931
1674,1.49270821,5.43488359,-3.74031329,213.82876928872429
1678,1.45336652,5.40190268,-3.76440024,213.83876928919926
1683,1.46363938,5.43078279,-3.7731564,213.84876928967424
1688,1.47997403,5.43426371,-3.77041745,213.85876929014921
1695,1.48932981,5.41866589,-3.74968219,213.86876929062419
1700,1.46053469,5.44031715,-3.77592826,213.87876929109916
1706,1.48263192,5.40574217,-3.74979305,213.88876929157414
1714,1.45365977,5.4341588,-3.75159478,213.89883642597124
1723,1.47280085,5.41544676,-3.73418236,213.90883642644621
1726,1.48630965,5.43461752,-3.75232434,213.91883642692119
1736,1.46703827,5.45350361,-3.75757837,213.93883642787114
1744,1.51211095,5.41582298,-3.74721622,213.94883642834611
1748,1.4734838,5.44717884,-3.75785351,213.95883642882109
1757,1.46978664,5.41179991,-3.76152992,213.97883642977104
1762,1.47597754,5.40582323,-3.73748088,213.98883643024601
1774,1.45979261,5.4086709,-3.74617004,214.00881201238371
1788,1.46996164,5.42463017,-3.76126385,214.03881201380864
1793,1.47614646,5.41865587,-3.73722267,214.04881201428361
1798,1.4567908,5.43112564,-3.74260569,214.05881201475859
1803,1.47280681,5.41544485,-3.73417425,214.06881201523356
1807,1.46700561,5.44049406,-3.76998687,214.07881201570854
1814,1.46311295,5.40537739,-3.75542593,214.08881201618351
1822,1.48619246,5.41519165,-3.76486206,214.09878759784624
1830,1.49575591,5.42543411,-3.73145199,214.10876684589311
1835,1.48982441,5.45065737,-3.75510573,214.11876684636809
1840,1.4731642,5.44761324,-3.72744966,214.12876684684306
1844,1.45690167,5.42444658,-3.76097202,214.13876684731804
1853,1.46254086,5.3669672,-3.75012207,214.14876684779301
1858,1.46643353,5.40208387,-3.76468253,214.15876684826799
1863,1.46328199,5.41820955,-3.75516772,214.16876684874296
1866,1.47336662,5.42775297,-3.77039123,214.17876684921794
1872,1.48272967,5.41215324,-3.74964595,214.18876684969291
1878,1.46010613,5.40172768,-3.7827642,214.19876318378374
1886,1.46331573,5.40511274,-3.77365351,214.20876318425871
1896,1.48623848,5.42819643,-3.75243545,214.22876318520866
1901,1.49616098,5.40530968,-3.79262066,214.23876318568364
1908,1.49909067,5.40254021,-3.76540208,214.24876318615861
1912,1.46671379,5.42783403,-3.75807691,214.25876318663359
1919,1.49268389,5.42187214,-3.75271058,214.26876318710856
1924,1.46369946,5.42418671,-3.78542471,214.27876318758354
1930,1.48618829,5.4086833,-3.7710495,214.28876318805851
1938,1.47318649,5.42801094,-3.75213289,214.29883032245561
1951,1.45043266,5.41775894,-3.77309275,214.31883032340556
1956,1.49905276,5.40912914,-3.75310373,214.32883032388054
1968,1.46984661,5.4248004,-3.74908519,214.34883032483049
1973,1.47286785,5.40884924,-3.74644089,214.35883032530546
1984,1.46705961,5.45349598,-3.75754952,214.37883032625541
1990,1.44075119,5.43379354,-3.7634325,214.38883032673039
1996,1.49580312,5.41233253,-3.74991941,214.39880590839311
2006,1.47664273,5.424541,-3.77353954,214.41880590934306
2013,1.47280836,5.40893459,-3.7403543,214.42880590981804
2018,1.48004067,5.44726181,-3.75796294,214.43880591029301
2024,1.4962256,5.44441366,-3.74927378,214.44880591076799
2028,1.4636215,5.4373641,-3.76083112,214.45880591124296
2038,1.48297739,5.42489481,-3.7554481,214.47880591219291
2044,1.47332227,5.42783403,-3.76428366,214.48880591266789
2051,1.47932446,5.40252113,-3.746701,214.49878149433061
2059,1.46947408,5.40572262,-3.73729897,214.50876782240812
2064,1.46681726,5.43424463,-3.75792193,214.51876782288309
2070,1.47653735,5.43121672,-3.75516534,214.52876782335807
2075,1.45019042,5.39850712,-3.77346444,214.53876782383304
2084,1.47249532,5.38977146,-3.7346549,214.54876782430802
2089,1.47664821,5.42453861,-3.77353168,214.55876782478299
2095,1.48613441,5.40876722,-3.76495481,214.56876782525796
2100,1.47626448,5.40546465,-3.76176047,214.57876782573294
2107,1.47966254,5.42818642,-3.74618435,214.58876782620791
2112,1.46001983,5.40839863,-3.764364,214.59884863300249
2127,1.47981751,5.43451309,-3.75212693,214.62884863442741
2138,1.48290384,5.41847467,-3.75556207,214.64884863537736
2148,1.48596394,5.41553116,-3.74050188,214.66884863632731
2153,1.46978581,5.39878035,-3.77389503,214.67884863680229
2159,1.46665382,5.42141008,-3.75817251,214.68884863727726
2167,1.50562775,5.41571617,-3.74700642,214.69882421893999
2176,1.48976135,5.43772554,-3.76138735,214.70882421941496
2186,1.46604466,5.3895874,-3.7405684,214.72882422036491
2191,1.5123266,5.42864037,-3.74689412,214.73882422083989
2198,1.47899365,5.39644957,-3.72249341,214.74882422131486
2203,1.47349179,5.43415689,-3.77020621,214.75882422178984
2209,1.46634388,5.40224552,-3.75246835,214.76882422226481
2213,1.460217,5.42773199,-3.75788522,214.77882422273979
2218,1.47644067,5.43789148,-3.73677945,214.78882422321476
2224,1.46627879,5.40233278,-3.74638915,214.79879980487749
2231,1.4696219,5.40554237,-3.74943376,214.80879980535246
2236,1.48611844,5.44145489,-3.72173166,214.81879980582744
2246,1.4734298,5.4342432,-3.7641232,214.83879980677739
2256,1.48268175,5.40572596,-3.74972558,214.85879980772734
2262,1.49292815,5.44770002,-3.73998618,214.86879980820231
2267,1.46675026,5.42782259,-3.75802732,214.87879980867729
2274,1.46328008,5.42478657,-3.74282122,214.88879980915226
2282,1.47319579,5.4214983,-3.75830245,214.89877539081499
2290,1.48950863,5.4380722,-3.73706079,214.90876171889249
2295,1.4566704,5.41827726,-3.74279785,214.91876171936747
2302,1.49950862,5.44120026,-3.7524128,214.92876171984244
2314,1.4860456,5.41543865,-3.74655819,214.94876172079239
2324,1.47604549,5.4123106,-3.73120642,214.96876172174234
2329,1.45328486,5.42165852,-3.72746205,214.97876172221731
2336,1.48964596,5.4182992,-3.77392268,214.98876172269229
2348,1.4766289,5.43112135,-3.76120877,215.00884252996184
2353,1.48347747,5.45037508,-3.76704645,215.01884253043681
2359,1.46047032,5.42087507,-3.7883935,215.02884253091179
2364,1.45027494,5.41800976,-3.75480413,215.03884253138676
2371,1.49894071,5.40278816,-3.74710274,215.04884253186174
2376,1.48326278,5.44413376,-3.75501728,215.05884253233671
2386,1.45635593,5.39911461,-3.73710036,215.07884253328666
2399,1.48641419,5.42800808,-3.76453185,215.09881811542436
2411,1.45704198,5.43084574,-3.76076674,215.11881811637431
2416,1.4695493,5.39912271,-3.74954629,215.12881811684929
2421,1.47341549,5.44733334,-3.74561095,215.13881811732426
2428,1.48269367,5.40572262,-3.74970889,215.14881811779924
2439,1.47308445,5.402071,-3.77083158,215.16881811874919
2444,1.48952305,5.41847181,-3.76175451,215.17881811922416
2455,1.47962677,5.42826414,-3.7400651,215.19879370136186
2461,1.48913229,5.41899586,-3.72527981,215.20879370183684
2466,1.47619081,5.39253521,-3.76805735,215.21879370231181
2473,1.48943925,5.41205502,-3.76188254,215.22879370278679
2478,1.45999873,5.41498089,-3.75204301,215.23879370326176
2484,1.46999896,5.41810846,-3.76739502,215.24879370373674
2495,1.50266814,5.42507124,-3.76191616,215.26879370468669
2505,1.46650934,5.40856934,-3.7583971,215.28879370563664
2513,1.47624898,5.41204596,-3.74943304,215.29876928729936
2521,1.48971212,5.43780756,-3.75528693,215.30875561537687
2526,1.46691597,5.4341464,-3.76395512,215.31875561585184
2533,1.50252199,5.41874123,-3.75596142,215.32875561632682
2538,1.46017122,5.42781258,-3.75178003,215.33875561680179
2546,1.49226832,5.39636469,-3.74099684,215.34875561727677
2551,1.48007977,5.44724941,-3.75790954,215.35875561775174
2557,1.49258697,5.41552639,-3.7466886,215.36875561822671
2567,1.49933171,5.42185974,-3.75886369,215.38875561917666
2573,1.4892472,5.41231585,-3.7436409,215.39883642597124
2584,1.46026278,5.41463089,-3.77635503,215.41883642692119
2590,1.47631752,5.41195774,-3.75550699,215.42883642739616
2594,1.47983062,5.4279995,-3.75829124,215.43883642787114
2601,1.4763869,5.41186953,-3.76158047,215.44883642834611
2606,1.47308588,5.42166615,-3.74611616,215.45883642882109
2611,1.4568162,5.4180975,-3.75493431,215.46883642929606
2616,1.47625661,5.41204405,-3.74942255,215.47883642977104
2621,1.49276018,5.42835808,-3.74642467,215.48883643024601
2637,1.4831897,5.43771315,-3.75513077,215.50881201238371
2642,1.44739532,5.43378258,-3.76959085,215.51881201285869
2648,1.48629534,5.42817879,-3.75235796,215.52881201333366
2652,1.47313166,5.41507483,-3.75840354,215.53881201380864
2664,1.48621631,5.42176056,-3.75247955,215.55881201475859
2671,1.47594345,5.39288092,-3.74372315,215.56881201523356
2675,1.46354711,5.41792536,-3.77331018,215.57881201570854
2681,1.47664583,5.4311161,-3.76118541,215.58881201618351
2687,1.47337115,5.42781878,-3.7642169,215.59878759784624
2695,1.49598229,5.41214228,-3.76201057,215.60878759832121
2699,1.4537425,5.414536,-3.77619576,215.61878759879619
2706,1.48333788,5.46363878,-3.73636961,215.62878759927116
2711,1.45380068,5.43404722,-3.75757098,215.63878759974614
2716,1.46328652,5.4182744,-3.74899411,215.64878760022111
2735,1.45988441,5.41515112,-3.73986292,215.68878760212101
2743,1.46996903,5.42469406,-3.75508571,215.69876318378374
2751,1.50300264,5.44422722,-3.76758623,215.70875659189187
2760,1.47307479,5.41516018,-3.75231314,215.72875659284182
2765,1.47652531,5.41169167,-3.77372742,215.73875659331679
2777,1.44723463,5.42094707,-3.76983786,215.75875659426674
2783,1.45955348,5.38948441,-3.7403698,215.76875659474172
2788,1.47646725,5.41177702,-3.76763868,215.77875659521669
2795,1.46689677,5.42113256,-3.77634525,215.78875659569167
2801,1.48612237,5.40883732,-3.75880361,215.79883032245561
2808,1.47353065,5.4341445,-3.77015376,215.80883032293059
2813,1.45989144,5.41514921,-3.73985338,215.81883032340556
2819,1.47986507,5.43449783,-3.75206208,215.82883032388054
2824,1.46359563,5.43092966,-3.76088047,215.83883032435551
2830,1.4864409,5.4279995,-3.76449561,215.84883032483049
2835,1.46323824,5.3987608,-3.7676053,215.85883032530546
2841,1.49889398,5.37676382,-3.77189374,215.86883032578044
2846,1.49269485,5.42193556,-3.74652743,215.87883032625541
2852,1.48610687,5.40233278,-3.7650063,215.88883032673039
2867,1.47600293,5.38628578,-3.75599122,215.90880590886809
2871,1.46999943,5.43119526,-3.74886274,215.91880590934306
2881,1.4634887,5.43760681,-3.74250865,215.93880591029301
2890,1.51192749,5.39004135,-3.75368977,215.94880591076799
2894,1.47027934,5.4373498,-3.76697063,215.95880591124296
2900,1.47597647,5.39938021,-3.7374959,215.96880591171794
2905,1.48632026,5.42817116,-3.75232387,215.97880591219291
2911,1.47977078,5.42157555,-3.75838637,215.98880591266789
2917,1.47339058,5.42781258,-3.76419044,215.99878149433061
2929,1.46720552,5.4337883,-3.78823161,216.01878149528056
2935,1.50587142,5.41543865,-3.7651782,216.02878149575554
2940,1.45055234,5.41114473,-3.78527951,216.03878149623051
2946,1.45326722,5.40213442,-3.74603176,216.04878149670549
2950,1.45688677,5.41149855,-3.76718783,216.05878149718046
2957,1.48000503,5.43432045,-3.76420712,216.06878149765544
2962,1.46996629,5.41818571,-3.76127124,216.07878149813041
2967,1.47304809,5.42174482,-3.73999953,216.08878149860539
2975,1.47653747,5.43128347,-3.74899793,216.09884863300249
2991,1.47330153,5.44099379,-3.73961234,216.12884863442741
2996,1.47658312,5.42469263,-3.76128483,216.13884863490239
3004,1.47279453,5.40249586,-3.74038696,216.14884863537736
3009,1.48951304,5.42505074,-3.74941874,216.15884863585234
3015,1.46632969,5.40231705,-3.74632025,216.16884863632731
3020,1.47664833,5.42460537,-3.76736403,216.17884863680229
3027,1.47022223,5.43743372,-3.76088071,216.18884863727726
3032,1.47992122,5.44749928,-3.73962188,216.19882421893999
3039,1.46645832,5.42173862,-3.73376751,216.20882421941496
3049,1.46965551,5.39902163,-3.75556922,216.22882422036491
3054,1.45027328,5.4245863,-3.74245715,216.23882422083989
3061,1.45675743,5.43126869,-3.73031545,216.24882422131486
3064,1.4927541,5.41533995,-3.75879693,216.25882422178984
3069,1.46335959,5.41167498,-3.76124406,216.26882422226481
3074,1.460657,5.44678688,-3.76958013,216.27882422273979
3081,1.4701432,5.43101549,-3.76100278,216.28882422321476
3088,1.49928415,5.4154315,-3.75894237,216.29879980487749
3097,1.48270845,5.41880322,-3.73115683,216.30879980535246
3102,1.46982443,5.41185379,-3.75531054,216.31879980582744
3107,1.47607446,5.40579176,-3.73734832,216.32879980630241
3120,1.51259756,5.43486404,-3.75884676,216.34879980725236
3123,1.46348286,5.43109894,-3.74869847,216.35879980772734
3129,1.48296893,5.41845369,-3.75547314,216.36879980820231
3134,1.46684909,5.4212141,-3.77024198,216.37879980867729
3139,1.47959042,5.40223694,-3.76484203,216.38879980915226
3145,1.48291075,5.39894342,-3.77409792,216.39877539081499
3153,1.50189531,5.3935008,-3.72603202,216.40877539128996
3158,1.44996881,5.38582516,-3.76145887,216.41877539176494
3164,1.5055027,5.39635992,-3.75338697,216.42877539223991
3169,1.46985793,5.39875793,-3.7737968,216.43877539271489
3174,1.50246215,5.4058075,-3.76223874,216.44877539318986
3179,1.46959746,5.39910746,-3.74948049,216.45877539366484
3189,1.47651112,5.41827345,-3.76139688,216.47877539461479
3195,1.51213646,5.40937185,-3.74719548,216.48877539508976
3203,1.49648476,5.43762159,-3.77360559,216.49884252948686
3211,1.4794215,5.4090004,-3.74038672,216.50884252996184
3226,1.47327673,5.42798233,-3.75200987,216.53884253138676
3234,1.47950733,5.41541624,-3.74025559,216.54884253186174
3238,1.48250926,5.3929615,-3.74382043,216.55884253233671
3244,1.47028184,5.43083763,-3.77314925,216.56884253281169
3249,1.45704591,5.43742085,-3.74841213,216.57884253328666
3255,1.47664273,5.41809702,-3.77355337,216.58884253376164
3270,1.48295796,5.4119482,-3.76167011,216.61881811637431
3277,1.47949505,5.38931417,-3.77116799,216.62881811684929
3281,1.48634183,5.42816448,-3.75229454,216.63881811732426
3287,1.46324301,5.41184521,-3.74906731,216.64881811779924
3292,1.46681702,5.42780113,-3.757936,216.65881811827421
3298,1.48915529,5.38637352,-3.76232529,216.66881811874919
3302,1.4663682,5.40881443,-3.74008584,216.67881811922416
3309,1.49602318,5.4121294,-3.76195478,216.68881811969914
3317,1.47628355,5.40552568,-3.75556707,216.69879370136186
3325,1.46311986,5.3924222,-3.76161265,216.70879370183684
3329,1.4761728,5.41220379,-3.73720098,216.71879370231181
3338,1.45067072,5.44365597,-3.7542088,216.73879370326176
3347,1.50904202,5.4189024,-3.74995351,216.74879370373674
3352,1.4667176,5.4148798,-3.76426744,216.75879370421171
3364,1.46960866,5.39910364,-3.74946547,216.76879370468669
3369,1.48570907,5.38983965,-3.74090481,216.77879370516166
3375,1.4893676,5.41221094,-3.74964476,216.78879370563664
3388,1.46297467,5.38609171,-3.75565648,216.80876928777434
3393,1.47337794,5.41479731,-3.77657151,216.81876928824931
3399,1.48290265,5.41203165,-3.75557756,216.82876928872429
3404,1.47311747,5.41514683,-3.75225496,216.83876928919926
3410,1.45023334,5.40506983,-3.76105642,216.84876928967424
3416,1.47652924,5.39867115,-3.78608584,216.85876929014921
3432,1.47918236,5.38974619,-3.74075413,216.88876929157414
3439,1.48945534,5.41862679,-3.749511,216.89883642597124
3446,1.49260664,5.40250015,-3.75902534,216.90883642644621
3456,1.47299051,5.41531944,-3.7400918,216.92883642739616
3461,1.45040572,5.41790104,-3.76079345,216.93883642787114
3469,1.47948158,5.40240383,-3.75265431,216.94883642834611
3474,1.44432449,5.43679619,-3.7784977,216.95883642882109
3481,1.49902582,5.40927124,-3.74080443,216.96883642929606
3484,1.48340559,5.4244256,-3.7857039,216.97883642977104
3491,1.49274194,5.4023242,-3.77117705,216.98883643024601
3497,1.45039129,5.41139603,-3.76699519,216.99881201190874
3504,1.4664917,5.40213203,-3.75843501,217.00881201238371
3509,1.46968198,5.399014,-3.75553274,217.01881201285869
3516,1.44683671,5.40194368,-3.75191808,217.02881201333366
3520,1.46670651,5.40837383,-3.77046418,217.03881201380864
3530,1.46350932,5.43109035,-3.74866247,217.05881201475859
3536,1.49618566,5.41845465,-3.76788735,217.06881201523356
3540,1.46015739,5.42137384,-3.7518127,217.07881201570854
3547,1.46996915,5.4051652,-3.7736311,217.08881201618351
3560,1.48976672,5.43128014,-3.76139402,217.10878759832121
