_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
90240,31.8076916,3098927.52,1010925.86,5463977.54,0.771000028,50.0160027,59.349975999999998,18.067256999999998,74.275999999999996,1.19999993,1074594577,399364000,398844.27920686896,1.07200003,2039
90355,32.3846169,3098927.4900000002,1010925.87,5463977.5200000005,0.771000028,49.9910011,59.349976099999999,18.067257299999998,74.251000000000005,1.19999993,1074594577,399364200,398844.27920686896,1.06900001,2039
90480,33,3098927.46,1010925.89,5463977.5600000005,0.771000028,50.0080032,59.349976499999997,18.0672578,74.268000000000001,1.19999993,1074594577,399364400,398844.27920686896,1.06400001,2039
90597,32.3846169,3098927.3700000001,1010925.91,5463977.6200000001,0.770000041,50.0210037,59.3499774,18.067258599999999,74.281999999999996,1.19999993,1074594577,399364600,398844.27920686896,1.06100011,2039
90715,32.5384598,3098927.3399999999,1010926,5463977.7300000004,0.771000028,50.1160011,59.349977799999998,18.067260300000001,74.376999999999995,1.19999993,1074594577,399364800,398844.27920686896,1.05800009,2039
90815,33.5200005,3098927.3100000001,1010926.11,5463977.7700000005,0.770000041,50.1570015,59.349978,18.067262299999999,74.418000000000006,1.19999993,1074594577,399365000,398844.27917635138,1.05500007,2039
90896,33.0384598,3098927.2400000002,1010926.1800000001,5463977.8500000006,0.769000053,50.2040024,59.349978699999994,18.0672639,74.463999999999999,1.14999998,1074594578,399365200,398844.27917635138,1.05300009,2039
91009,32.2692299,3098927.1099999999,1010926.24,5463977.8399999999,0.769000053,50.1350021,59.349979399999995,18.067265499999998,74.396000000000001,1.14999998,1074594578,399365400,398844.27917635138,1.051,2039
91124,31.6923084,3098927.02,1010926.3,5463977.8100000005,0.772000015,50.0730019,59.349979899999994,18.067267099999999,74.332999999999998,1.14999998,1074594578,399365600,398844.27917635138,1.051,2039
91241,31.6923084,3098926.9199999999,1010926.3300000001,5463977.7599999998,0.774000049,49.9890022,59.349980199999997,18.0672681,74.25,1.12,1074594579,399365800,398844.27917635138,1.051,2039
91360,31.7692299,3098926.8500000001,1010926.3200000001,5463977.71,0.77700001,49.9160042,59.349980599999995,18.067268299999999,74.176000000000002,1.14999998,1074594578,399366000,398844.27923738654,1.051,2039
91480,31.1923084,3098926.8199999998,1010926.25,5463977.6200000001,0.780000031,49.8080025,59.349980599999995,18.067267299999997,74.067999999999998,1.24000001,1074594577,399366200,398844.27923738654,1.05200005,2039
91598,31.9615383,3098926.8000000003,1010926.17,5463977.4900000002,0.783000052,49.6710014,59.349980299999999,18.067266,73.932000000000002,1.24000001,1074594577,399366400,398844.27923738654,1.05200005,2039
91710,32.5,3098926.79,1010926.14,5463977.4100000001,0.783000052,49.5920029,59.349980099999996,18.067265599999999,73.853000000000009,1.13999999,1074594578,399366600,398844.27923738654,1.05200005,2039
91831,32.8461533,3098926.7000000002,1010926.01,5463977.1100000003,0.782000065,49.2710037,59.349979699999999,18.0672639,73.531000000000006,1.14999998,1074594579,399366800,398844.27923738654,1.05000007,2039
91952,32.7307701,3098926.6400000001,1010925.9400000001,5463976.8799999999,0.782000065,49.0330009,59.3499792,18.067263099999998,73.293999999999997,1.15999997,1074594578,399367000,398844.27920686896,1.0480001,2039
92069,32.1538467,3098926.5800000001,1010925.9300000001,5463976.75,0.781000018,48.887001,59.3499792,18.067263199999999,73.147999999999996,1.12,1074594579,399367200,398844.27920686896,1.04700005,2039
92186,32.4230766,3098926.4900000002,1010925.92,5463976.6299999999,0.781000018,48.7440033,59.3499792,18.0672636,73.004000000000005,1.12,1074594579,399367400,398844.27920686896,1.04700005,2039
92306,31.6153851,3098926.4199999999,1010925.9300000001,5463976.5600000005,0.781000018,48.6480026,59.349979499999996,18.067264099999999,72.909000000000006,1.15999997,1074594578,399367600,398844.27920686896,1.04700005,2039
92425,30.6923084,3098926.3399999999,1010925.92,5463976.5800000001,0.781000018,48.6270027,59.349980199999997,18.067264399999999,72.887,1.15999997,1074594578,399367800,398844.27920686896,1.05000007,2039
92539,30.8461533,3098926.29,1010925.88,5463976.5700000003,0.782000065,48.5850029,59.349980599999995,18.067264099999999,72.846000000000004,1.16999996,1074594578,399368000,398844.27926790412,1.0480001,2039
92656,31.2307701,3098926.29,1010925.88,5463976.5800000001,0.784000039,48.6020012,59.349980599999995,18.067263999999998,72.863,1.16999996,1074594578,399368200,398844.27926790412,1.046,2039
92768,31.6153851,3098926.3000000003,1010925.89,5463976.6299999999,0.784000039,48.651001,59.349980699999996,18.0672642,72.912000000000006,1.16999996,1074594578,399368400,398844.27926790412,1.0430001,2039
92881,31.5384617,3098926.3000000003,1010925.92,5463976.6500000004,0.785000026,48.6710014,59.349980699999996,18.067264699999999,72.930999999999997,1.13,1074594578,399368600,398844.27926790412,1.04400003,2039
92995,30.5,3098926.3300000001,1010925.9400000001,5463976.6000000006,0.786000013,48.6420021,59.349980199999997,18.0672648,72.903000000000006,1.12,1074594579,399368800,398844.27926790412,1.0480001,2039
93114,30.1538467,3098926.3599999999,1010925.99,5463976.6000000006,0.788000047,48.6640015,59.349979899999994,18.067265499999998,72.924000000000007,1.12,1074594579,399369000,398844.27923738654,1.05300009,2039
93232,30.5769234,3098926.4399999999,1010926.04,5463976.6500000004,0.788000047,48.7540016,59.349979399999995,18.067265799999998,73.013999999999996,1.16999996,1074594578,399369200,398844.27923738654,1.06000006,2039
93348,30.1923084,3098926.4900000002,1010926.04,5463976.6000000006,0.790000021,48.7380028,59.349978799999995,18.067265599999999,72.998000000000005,1.24000001,1074594577,399369400,398844.27923738654,1.07000005,2039
93465,30.4230766,3098926.52,1010926.0800000001,5463976.5899999999,0.793000042,48.7460022,59.349978499999999,18.067266199999999,73.006,1.16999996,1074594578,399369600,398844.27923738654,1.079,2039
93580,30.3461533,3098926.5500000003,1010926.09,5463976.5600000005,0.79400003,48.7380028,59.349978,18.067266099999998,72.998000000000005,1.15999997,1074594579,399369800,398844.27923738654,1.08700001,2039
93695,29.7307701,3098926.5899999999,1010926.09,5463976.5700000003,0.797000051,48.769001,59.349977899999999,18.067265799999998,73.030000000000001,1.15999997,1074594579,399370000,398844.27920686896,1.09800005,2039
