_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
7487,-2.53529382,-1.31757009,-11.8365688,-2.57891583,-1.4793036,-11.9669504,-0.471117914,0.187328339,-0.320791692,-0.471349806,0.186979488,-0.317042977,541103648,1663.4598726434633
7490,-2.31825495,-1.15724981,-11.9718666,-2.36088753,-1.24811828,-12.0604372,-0.463543594,0.178399175,-0.326739043,-0.4601008,0.171773255,-0.325063646,541103648,1663.4638726436533
7493,-2.13917899,-0.920700729,-11.9042683,-2.1616075,-1.03543186,-11.9231844,-0.453107685,0.161015972,-0.337604314,-0.441355556,0.15745227,-0.350354254,541103648,1663.4678726438433
7496,-1.91325438,-0.68950963,-12.0936937,-1.95385456,-0.791455269,-12.1953154,-0.415492982,0.130677342,-0.367138177,-0.411717206,0.130579978,-0.353868693,541103648,1663.4718726440333
7501,-1.71859193,-0.531101882,-12.0284042,-1.78202879,-0.638951004,-12.0846729,-0.383902997,0.108652107,-0.362374783,-0.37220785,0.0969554707,-0.365941197,541103648,1663.4758726442233
7504,-1.52045715,-0.353687078,-12.0418224,-1.52903628,-0.417819202,-12.0575151,-0.355220795,0.0696697831,-0.380511969,-0.348413825,0.0640822053,-0.382194668,541103648,1663.4798726444133
7507,-1.26797628,-0.113185868,-12.1235952,-1.34463644,-0.18952474,-12.1826181,-0.307308823,0.024044292,-0.38250342,-0.301994324,0.0207898989,-0.375681281,541103648,1663.4838726446033
7510,-1.11387932,0.038695652,-12.0342569,-1.1709038,-0.0459576845,-12.0545425,-0.262008727,-0.0153362118,-0.373016953,-0.256833136,-0.0240801182,-0.38006568,541103648,1663.4878726447932
7513,-0.976735294,0.138018265,-12.0181551,-1.04753888,0.0595508367,-12.0211735,-0.210834101,-0.0683827773,-0.378121436,-0.206135884,-0.0735228434,-0.372198224,541103648,1663.4918726449832
7516,-0.939677536,0.0956605375,-11.9581785,-0.977402747,0.0488543287,-11.9880705,-0.167219609,-0.119197957,-0.348325014,-0.162198827,-0.123504713,-0.347736865,541103648,1663.4958726451732
7519,-0.853152871,0.237197056,-11.812726,-0.924545944,0.176681384,-11.8425303,-0.11319299,-0.172435686,-0.322780997,-0.105538748,-0.17883645,-0.333637714,541103648,1663.4998726453632
7522,-0.832238853,0.412511826,-11.6078339,-0.855317533,0.375392675,-11.6170006,-0.0612915866,-0.220680475,-0.309908926,-0.0586198829,-0.223324805,-0.297612756,541103648,1663.5038726455532
7525,-0.810400486,0.608034611,-11.4765606,-0.824549735,0.573076248,-11.5317955,-0.0222446267,-0.255377531,-0.27474007,-0.0126100685,-0.262597948,-0.271727294,541103648,1663.5078726457432
7528,-0.757932782,0.756272793,-11.2562685,-0.823210597,0.720969319,-11.3472424,0.0343945622,-0.297554463,-0.248154402,0.0413159281,-0.303406358,-0.255630672,541103648,1663.5118726459332
7531,-0.754692614,0.87420541,-11.1868782,-0.794258296,0.835328877,-11.1770277,0.0859724954,-0.340328276,-0.224266693,0.0894043148,-0.344020098,-0.215106562,541103648,1663.5158726461232
7534,-0.800990164,0.806367755,-11.0417099,-0.86481154,0.785753906,-11.0784035,0.116617642,-0.370108485,-0.175796837,0.126009166,-0.377710253,-0.184683576,541103648,1663.5198726463132
7537,-0.88899833,0.763633847,-10.924324,-0.971759737,0.740877569,-11.0746994,0.157539129,-0.404375315,-0.148426667,0.160708383,-0.408481985,-0.146455318,541103648,1663.5238726465032
7540,-1.0118252,0.704422891,-10.7991257,-1.04186845,0.684809983,-10.8226213,0.193558812,-0.434788644,-0.10504654,0.198197424,-0.441880047,-0.0970509499,541103648,1663.5278726466931
7543,-1.12846422,0.604926765,-10.6315193,-1.19991422,0.602340102,-10.6966219,0.214392692,-0.458123893,-0.0531480573,0.219789863,-0.463347524,-0.0604499616,541103648,1663.5318726468831
7546,-1.28825271,0.585446835,-10.469614,-1.35309494,0.569257855,-10.5480614,0.230274871,-0.479900539,-0.0180181786,0.234350428,-0.484588295,-0.00950247236,541103648,1663.5358726470731
7549,-1.42986476,0.63159281,-10.3406258,-1.50356197,0.617051244,-10.4674149,0.243791372,-0.490890145,0.0352298506,0.247670785,-0.494153798,0.0373066328,541103648,1663.5398726472631
7552,-1.61373436,0.679683626,-10.154357,-1.6633333,0.633716524,-10.2913647,0.261392593,-0.499406397,0.0764770806,0.268458754,-0.504372418,0.0726768523,541103648,1663.5438726474531
7555,-1.84671783,0.679198086,-9.97482204,-1.89642894,0.637102306,-10.1030312,0.266657352,-0.502198577,0.109714009,0.266345203,-0.502954066,0.118464269,541103648,1663.5478726476431
7558,-2.03211355,0.677072406,-9.82479,-2.1291914,0.648275137,-9.9893837,0.267872036,-0.490538746,0.160946652,0.275651187,-0.496735245,0.153170377,541103648,1663.5518726478331
7561,-2.26316047,0.67578876,-9.75864697,-2.3457005,0.644422114,-9.87746429,0.285536319,-0.483846426,0.181406394,0.29056567,-0.48399362,0.187100857,541103648,1663.5558726480231
7564,-2.51168132,0.521214306,-9.63729572,-2.56913066,0.483977318,-9.75708294,0.278947175,-0.463644534,0.215399995,0.282131463,-0.46883297,0.223294154,541103648,1663.5598726482131
7567,-2.72246528,0.572451115,-9.47250175,-2.81112766,0.495372206,-9.62208176,0.276159286,-0.435086936,0.249656722,0.284898192,-0.44234553,0.243339896,541103648,1663.563872648403
7570,-2.93571353,0.443819612,-9.36786938,-3.01611638,0.348118633,-9.55178165,0.290644675,-0.412461996,0.260459125,0.292532653,-0.413337886,0.26707679,541103648,1663.567872648593
7573,-3.17878222,0.353287339,-9.1739521,-3.24851704,0.308254927,-9.38187027,0.296462953,-0.37340337,0.28942427,0.300324053,-0.37758249,0.289240628,541103648,1663.571872648783
7576,-3.34109354,0.322672844,-9.24623966,-3.39900732,0.235631421,-9.38220787,0.325903714,-0.341421247,0.300794214,0.333431035,-0.346111029,0.298109859,541103648,1663.575872648973
7579,-3.47534919,0.285500675,-8.90526009,-3.53138208,0.19391948,-9.07814407,0.331794679,-0.298806459,0.300926685,0.329947621,-0.299347043,0.308859169,541103648,1663.579872649163
