ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
570574200,0,3098536.290000,1011150.860000,5464106.920000,59.352901,18.073150,31.558000,7.315001,0.785000,1.116000,1.210000,553056.515779
570574400,0,3098536.260000,1011150.850000,5464106.850000,59.352901,18.073150,31.486000,7.243001,0.792000,1.126000,1.210000,553056.515779
570574600,0,3098536.240000,1011150.840000,5464106.790000,59.352901,18.073150,31.418000,7.175000,0.799000,1.135000,1.210000,553056.515779
570574800,0,3098536.210000,1011150.830000,5464106.740000,59.352901,18.073150,31.361000,7.118001,0.801000,1.139000,1.210000,553056.515779
570575000,0,3098536.180000,1011150.820000,5464106.680000,59.352901,18.073150,31.294000,7.050000,0.801000,1.138000,1.210000,553056.515840
570575200,0,3098536.160000,1011150.820000,5464106.620000,59.352901,18.073150,31.235000,6.992000,0.804000,1.142000,1.210000,553056.515840
570575400,0,3098536.140000,1011150.810000,5464106.580000,59.352901,18.073150,31.186000,6.943000,0.807000,1.147000,1.210000,553056.515840
570575600,0,3098536.110000,1011150.810000,5464106.540000,59.352901,18.073150,31.134000,6.891000,0.803000,1.141000,1.210000,553056.515840
570575800,0,3098536.080000,1011150.800000,5464106.510000,59.352901,18.073150,31.092000,6.849000,0.796000,1.131000,1.210000,553056.515840
570576000,0,3098536.060000,1011150.800000,5464106.510000,59.352901,18.073150,31.085000,6.841001,0.794000,1.128000,1.210000,553056.515810
570576200,0,3098536.030000,1011150.800000,5464106.480000,59.352901,18.073151,31.046000,6.803000,0.788000,1.121000,1.210000,553056.515810
570576400,0,3098536.000000,1011150.790000,5464106.450000,59.352901,18.073151,31.007000,6.764000,0.790000,1.123000,1.210000,553056.515810
570576600,0,3098535.990000,1011150.790000,5464106.430000,59.352901,18.073151,30.983000,6.740000,0.788000,1.119000,1.210000,553056.515810
570576800,0,3098535.960000,1011150.780000,5464106.410000,59.352902,18.073151,30.949000,6.706000,0.791000,1.123000,1.210000,553056.515810
570577000,0,3098535.940000,1011150.780000,5464106.410000,59.352902,18.073151,30.935000,6.692000,0.791000,1.123000,1.210000,553056.515871
570577200,0,3098535.920000,1011150.780000,5464106.400000,59.352902,18.073151,30.926000,6.683000,0.788000,1.117000,1.210000,553056.515871
570577400,0,3098535.910000,1011150.770000,5464106.400000,59.352902,18.073151,30.916000,6.673000,0.786000,1.115000,1.220000,553056.515871
570577600,0,3098535.890000,1011150.760000,5464106.390000,59.352902,18.073151,30.899000,6.655000,0.783000,1.109000,1.220000,553056.515871
570577800,0,3098535.880000,1011150.750000,5464106.390000,59.352902,18.073150,30.892000,6.649000,0.777000,1.098000,1.220000,553056.515871
570578000,0,3098535.870000,1011150.740000,5464106.400000,59.352902,18.073150,30.890000,6.647000,0.775000,1.093000,1.220000,553056.515840
570578200,0,3098535.870000,1011150.730000,5464106.420000,59.352902,18.073150,30.900000,6.657001,0.772000,1.088000,1.220000,553056.515840
570578400,0,3098535.850000,1011150.720000,5464106.410000,59.352903,18.073150,30.889000,6.646000,0.771000,1.083000,1.220000,553056.515840
570578600,0,3098535.850000,1011150.720000,5464106.420000,59.352903,18.073150,30.893000,6.650000,0.768000,1.078000,1.220000,553056.515840
570578800,0,3098535.840000,1011150.710000,5464106.430000,59.352903,18.073150,30.896000,6.653000,0.767000,1.074000,1.220000,553056.515840
570579000,0,3098535.820000,1011150.700000,5464106.440000,59.352903,18.073150,30.898000,6.655000,0.763000,1.067000,1.220000,553056.515901
570579200,0,3098535.820000,1011150.690000,5464106.450000,59.352903,18.073150,30.901000,6.658000,0.750000,1.048000,1.220000,553056.515901
570579400,0,3098535.820000,1011150.690000,5464106.470000,59.352903,18.073150,30.923000,6.680000,0.742000,1.036000,1.220000,553056.515901
570579600,0,3098535.820000,1011150.690000,5464106.490000,59.352903,18.073150,30.937000,6.694000,0.735000,1.026000,1.220000,553056.515901
570579800,0,3098535.820000,1011150.680000,5464106.530000,59.352903,18.073150,30.963000,6.720000,0.750000,1.045000,1.220000,553056.515901
570580000,0,3098535.810000,1011150.680000,5464106.550000,59.352904,18.073150,30.986000,6.742000,0.759000,1.058000,1.220000,553056.515962
570580200,0,3098535.810000,1011150.670000,5464106.590000,59.352904,18.073150,31.015000,6.772000,0.762000,1.061000,1.220000,553056.515962
570580400,0,3098535.820000,1011150.670000,5464106.640000,59.352904,18.073149,31.061000,6.818000,0.772000,1.074000,1.220000,553056.515962
570580600,0,3098535.820000,1011150.670000,5464106.680000,59.352904,18.073149,31.094000,6.851000,0.782000,1.088000,1.220000,553056.515962
570580800,0,3098535.820000,1011150.670000,5464106.720000,59.352904,18.073149,31.131000,6.888000,0.790000,1.098000,1.220000,553056.515962
570581000,0,3098535.830000,1011150.670000,5464106.760000,59.352904,18.073149,31.167000,6.924000,0.798000,1.108000,1.220000,553056.515932
570581200,0,3098535.840000,1011150.660000,5464106.820000,59.352905,18.073149,31.221000,6.978000,0.803000,1.114000,1.220000,553056.515932
570581400,0,3098535.840000,1011150.670000,5464106.880000,59.352905,18.073149,31.277000,7.033000,0.811000,1.124000,1.220000,553056.515932
570581600,0,3098535.840000,1011150.680000,5464106.950000,59.352905,18.073149,31.336000,7.093000,0.819000,1.135000,1.220000,553056.515932
570581800,0,3098535.840000,1011150.670000,5464106.970000,59.352905,18.073149,31.352000,7.109000,0.809000,1.123000,1.220000,553056.515932
570582000,0,3098535.850000,1011150.660000,5464107.010000,59.352905,18.073149,31.389000,7.146000,0.804000,1.117000,1.220000,553056.515993
570582200,0,3098535.850000,1011150.660000,5464107.070000,59.352906,18.073149,31.440000,7.197001,0.795000,1.105000,1.220000,553056.515993
570582400,0,3098535.850000,1011150.660000,5464107.110000,59.352906,18.073149,31.477000,7.234000,0.787000,1.095000,1.220000,553056.515993
570582600,0,3098535.860000,1011150.660000,5464107.140000,59.352906,18.073149,31.507000,7.264000,0.801000,1.116000,1.220000,553056.515993
570582800,0,3098535.860000,1011150.660000,5464107.170000,59.352906,18.073149,31.536000,7.293000,0.811000,1.131000,1.220000,553056.515993
570583000,0,3098535.880000,1011150.650000,5464107.220000,59.352906,18.073149,31.586000,7.343000,0.823000,1.148000,1.220000,553056.515962
570583200,0,3098535.890000,1011150.640000,5464107.280000,59.352906,18.073148,31.644000,7.401000,0.827000,1.153000,1.220000,553056.515962
570583400,0,3098535.870000,1011150.640000,5464107.350000,59.352907,18.073149,31.695000,7.452000,0.844000,1.176000,1.220000,553056.515962
570583600,0,3098535.850000,1011150.650000,5464107.390000,59.352907,18.073149,31.718000,7.475000,0.839000,1.160000,1.220000,553056.515962
570583800,0,3098535.860000,1011150.660000,5464107.420000,59.352907,18.073149,31.753000,7.510000,0.843000,1.156000,1.220000,553056.515962
570584000,0,3098535.860000,1011150.660000,5464107.430000,59.352907,18.073149,31.757000,7.514000,0.849000,1.159000,1.220000,553056.516023
570584200,0,3098535.880000,1011150.660000,5464107.460000,59.352907,18.073149,31.793000,7.550000,0.846000,1.148000,1.220000,553056.516023
570584400,0,3098535.900000,1011150.670000,5464107.500000,59.352907,18.073149,31.839000,7.596000,0.844000,1.139000,1.220000,553056.516023
570584600,0,3098535.920000,1011150.690000,5464107.570000,59.352908,18.073149,31.911000,7.668000,0.836000,1.124000,1.220000,553056.516023
570584800,0,3098535.900000,1011150.680000,5464107.600000,59.352908,18.073149,31.927000,7.684000,0.806000,1.082000,1.250000,553056.516023
570585000,0,3098535.860000,1011150.660000,5464107.590000,59.352908,18.073149,31.899000,7.656000,0.815000,1.094000,1.250000,553056.516084
570585200,0,3098535.880000,1011150.650000,5464107.700000,59.352908,18.073149,31.994000,7.751000,0.818000,1.090000,1.230000,553056.516084
570585400,0,3098535.890000,1011150.640000,5464107.800000,59.352909,18.073149,32.086000,7.842000,0.818000,1.089000,1.210000,553056.516084
570585600,0,3098535.870000,1011150.630000,5464107.820000,59.352909,18.073148,32.091000,7.847001,0.818000,1.089000,1.230000,553056.516084
570585800,0,3098535.840000,1011150.610000,5464107.880000,59.352910,18.073148,32.128000,7.885000,0.816000,1.087000,1.230000,553056.516084
570586000,0,3098535.820000,1011150.590000,5464107.900000,59.352910,18.073148,32.134000,7.891000,0.814000,1.085000,1.230000,553056.516054
570586200,0,3098535.810000,1011150.570000,5464107.950000,59.352910,18.073148,32.169000,7.926001,0.811000,1.084000,1.230000,553056.516054
570586400,0,3098535.800000,1011150.550000,5464107.980000,59.352911,18.073147,32.186000,7.943000,0.808000,1.082000,1.230000,553056.516054
570586600,0,3098535.810000,1011150.520000,5464108.040000,59.352911,18.073147,32.236000,7.993001,0.806000,1.077000,1.230000,553056.516054
570586800,0,3098535.830000,1011150.500000,5464108.060000,59.352911,18.073147,32.262000,8.018001,0.804000,1.073000,1.230000,553056.516054
570587000,0,3098535.820000,1011150.480000,5464108.070000,59.352911,18.073146,32.261000,8.018001,0.803000,1.070000,1.230000,553056.516115
570587200,0,3098535.840000,1011150.470000,5464108.080000,59.352911,18.073146,32.278000,8.035001,0.801000,1.066000,1.210000,553056.516115
570587400,0,3098535.850000,1011150.460000,5464108.110000,59.352911,18.073146,32.309000,8.066000,0.798000,1.064000,1.210000,553056.516115
570587600,0,3098535.860000,1011150.460000,5464108.160000,59.352911,18.073146,32.353000,8.110001,0.796000,1.061000,1.210000,553056.516115
570587800,0,3098535.860000,1011150.450000,5464108.190000,59.352911,18.073146,32.383000,8.140000,0.795000,1.060000,1.210000,553056.516115
570588000,0,3098535.860000,1011150.430000,5464108.190000,59.352911,18.073145,32.377000,8.133000,0.794000,1.058000,1.210000,553056.516176
570588200,0,3098535.860000,1011150.430000,5464108.230000,59.352911,18.073145,32.410000,8.167001,0.792000,1.056000,1.210000,553056.516176
570588400,0,3098535.870000,1011150.430000,5464108.240000,59.352911,18.073145,32.425000,8.182000,0.791000,1.054000,1.210000,553056.516176
