ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
573361200,0,3098534.330000,1011156.040000,5464109.000000,59.352913,18.073248,33.214000,8.971001,0.861000,0.919000,0.970000,573073.537965
573361400,0,3098534.330000,1011156.050000,5464108.950000,59.352913,18.073248,33.179000,8.936001,0.841000,0.912000,0.970000,573073.537965
573361600,0,3098534.340000,1011156.040000,5464108.910000,59.352912,18.073247,33.145000,8.902000,0.823000,0.907000,0.970000,573073.537965
573361800,0,3098534.340000,1011156.040000,5464108.880000,59.352912,18.073247,33.123000,8.880000,0.806000,0.901000,0.970000,573073.537965
573362000,0,3098534.360000,1011156.040000,5464108.860000,59.352912,18.073247,33.112000,8.869000,0.791000,0.896000,0.970000,573073.538027
573362200,0,3098534.360000,1011156.030000,5464108.820000,59.352912,18.073247,33.072000,8.829000,0.777000,0.892000,0.970000,573073.538027
573362400,0,3098534.370000,1011156.020000,5464108.790000,59.352912,18.073247,33.058000,8.815001,0.764000,0.889000,0.970000,573073.538027
573362600,0,3098534.380000,1011156.020000,5464108.760000,59.352911,18.073247,33.032000,8.789001,0.753000,0.887000,0.920000,573073.538027
573362800,0,3098534.390000,1011156.020000,5464108.750000,59.352911,18.073247,33.030000,8.787001,0.741000,0.884000,0.940000,573073.538027
573363000,0,3098534.420000,1011156.030000,5464108.750000,59.352911,18.073247,33.043000,8.800000,0.730000,0.882000,0.940000,573073.537996
573363200,0,3098534.430000,1011156.030000,5464108.740000,59.352911,18.073247,33.041000,8.798000,0.720000,0.879000,0.940000,573073.537996
573363400,0,3098534.430000,1011156.030000,5464108.730000,59.352911,18.073247,33.032000,8.789001,0.710000,0.877000,0.940000,573073.537996
573363600,0,3098534.440000,1011156.030000,5464108.730000,59.352911,18.073246,33.038000,8.795000,0.701000,0.875000,0.940000,573073.537996
573363800,0,3098534.440000,1011156.030000,5464108.720000,59.352911,18.073247,33.034000,8.791000,0.692000,0.873000,0.940000,573073.537996
573364000,0,3098534.440000,1011156.030000,5464108.710000,59.352911,18.073247,33.023000,8.780001,0.683000,0.871000,0.940000,573073.538057
573364200,0,3098534.440000,1011156.030000,5464108.710000,59.352911,18.073247,33.021000,8.778001,0.674000,0.869000,0.940000,573073.538057
573364400,0,3098534.420000,1011156.040000,5464108.720000,59.352911,18.073247,33.025000,8.782001,0.665000,0.868000,0.980000,573073.538057
573364600,0,3098534.410000,1011156.060000,5464108.740000,59.352911,18.073247,33.038000,8.795000,0.656000,0.866000,0.980000,573073.538057
573364800,0,3098534.400000,1011156.080000,5464108.750000,59.352911,18.073248,33.044000,8.801001,0.647000,0.864000,0.980000,573073.538057
573365000,0,3098534.380000,1011156.090000,5464108.750000,59.352911,18.073248,33.038000,8.795000,0.638000,0.862000,0.980000,573073.538027
573365200,0,3098534.370000,1011156.110000,5464108.760000,59.352911,18.073248,33.037000,8.794001,0.630000,0.861000,0.980000,573073.538027
573365400,0,3098534.350000,1011156.120000,5464108.760000,59.352911,18.073249,33.029000,8.786000,0.623000,0.859000,0.980000,573073.538027
573365600,0,3098534.340000,1011156.120000,5464108.750000,59.352911,18.073249,33.020000,8.777000,0.618000,0.858000,0.980000,573073.538027
573365800,0,3098534.330000,1011156.130000,5464108.730000,59.352911,18.073249,32.997000,8.754001,0.613000,0.858000,0.980000,573073.538027
573366000,0,3098534.330000,1011156.130000,5464108.710000,59.352911,18.073249,32.983000,8.740001,0.609000,0.857000,0.980000,573073.538088
573366200,0,3098534.330000,1011156.130000,5464108.690000,59.352911,18.073249,32.967000,8.724000,0.605000,0.857000,0.980000,573073.538088
573366400,0,3098534.330000,1011156.130000,5464108.680000,59.352911,18.073249,32.955000,8.712001,0.601000,0.856000,0.980000,573073.538088
573366600,0,3098534.330000,1011156.140000,5464108.660000,59.352911,18.073249,32.944000,8.701000,0.597000,0.855000,0.980000,573073.538088
573366800,0,3098534.330000,1011156.140000,5464108.640000,59.352911,18.073249,32.926000,8.683001,0.593000,0.855000,0.980000,573073.538088
573367000,0,3098534.330000,1011156.150000,5464108.620000,59.352911,18.073249,32.909000,8.666000,0.589000,0.854000,0.980000,573073.538057
573367200,0,3098534.330000,1011156.160000,5464108.600000,59.352911,18.073249,32.894000,8.651000,0.586000,0.853000,0.980000,573073.538057
573367400,0,3098534.320000,1011156.160000,5464108.580000,59.352911,18.073249,32.872000,8.629001,0.582000,0.852000,0.980000,573073.538057
573367600,0,3098534.310000,1011156.170000,5464108.560000,59.352911,18.073250,32.853000,8.610001,0.578000,0.849000,0.930000,573073.538057
573367800,0,3098534.290000,1011156.180000,5464108.530000,59.352911,18.073250,32.819000,8.576000,0.574000,0.846000,0.930000,573073.538057
573368000,0,3098534.280000,1011156.190000,5464108.510000,59.352911,18.073250,32.797000,8.554001,0.570000,0.844000,0.930000,573073.538118
573368200,0,3098534.270000,1011156.200000,5464108.490000,59.352911,18.073250,32.774000,8.531000,0.567000,0.842000,0.930000,573073.538118
573368400,0,3098534.260000,1011156.210000,5464108.480000,59.352911,18.073251,32.763000,8.520000,0.563000,0.839000,0.930000,573073.538118
573368600,0,3098534.260000,1011156.220000,5464108.460000,59.352910,18.073251,32.745000,8.502001,0.560000,0.837000,0.930000,573073.538118
573368800,0,3098534.260000,1011156.240000,5464108.450000,59.352910,18.073251,32.742000,8.499001,0.557000,0.835000,0.950000,573073.538118
