_ID_,bar,barTemp,humidity,mslBar,time
1641,101.285378,47.3255539,1.20786011,3.29865456,529.71980297984555
1645,101.275467,47.3154259,1.57235432,4.12402296,529.72780298022553
1651,101.288971,47.330616,1.2777853,2.99940944,529.73580298060551
1654,101.275467,47.3154259,1.24981701,4.12402296,529.74380298098549
1659,101.286377,47.3154259,1.12665856,3.21566963,529.75180298136547
1664,101.287102,47.3356781,1.37116921,3.15531754,529.75980298174545
1669,101.280922,47.3154259,1.38469994,3.66983414,529.76780298212543
1675,101.278061,47.330616,1.03732312,3.90824246,529.7798029826954
1678,101.285378,47.3255539,1.30169547,3.29865456,529.78780298307538
1684,101.288101,47.3255539,1.31928921,3.07183075,529.79577856464311
1688,101.283516,47.330616,1.44199383,3.45406532,529.80377856502309
1693,101.289833,47.3356781,1.23041511,2.92799449,529.81177856540307
1698,101.288101,47.3255539,0.996721566,3.07183075,529.81977856578305
1704,101.289833,47.3356781,1.53537524,2.92799449,529.83177856635302
1713,101.280922,47.3154259,1.73654377,3.66983414,529.84777856711298
1718,101.278198,47.3154259,1.59581041,3.89667392,529.85577856749296
1723,101.278061,47.330616,1.64137959,3.90824246,529.86377856787294
1727,101.282646,47.3255539,0.744511545,3.52649069,529.87177856825292
1732,101.280922,47.3154259,1.29086888,3.66983414,529.8797785686329
1740,101.282646,47.3255539,1.64182711,3.52649069,529.89175415039063
1745,101.278923,47.3356781,1.23041511,3.83631682,529.8997541507706
1749,101.285378,47.3255539,1.33688295,3.29865456,529.90775415115058
1754,101.283653,47.3154259,1.39642859,3.44249725,529.91575415153056
1761,101.287102,47.3356781,1.38289845,3.15531754,529.93175415229052
1768,101.282646,47.3255539,1.3955282,3.52649069,529.94375415286049
1773,101.28624,47.330616,1.3129735,3.22723722,529.95175415324047
1778,101.275467,47.3154259,0.845137179,4.12402296,529.95975415362045
1783,101.278061,47.330616,1.25432634,3.90824246,529.96775415400043
1788,101.284378,47.3356781,1.0896554,3.3821435,529.97575415438041
1791,101.281647,47.3356781,1.81685317,3.60947871,529.98375415476039
1797,101.282646,47.3255539,1.31342471,3.52649069,529.9918212890625
1807,101.279922,47.3255539,1.21958971,3.75332642,530.01182129001245
1814,101.288971,47.330616,1.48890924,2.99940944,530.01982129039243
1819,101.283516,47.330616,1.04905343,3.45406532,530.02782129077241
1825,101.279922,47.3255539,1.05537248,3.75332642,530.03582129115239
1828,101.281647,47.3356781,1.07792509,3.60947871,530.04382129153237
1838,101.285378,47.3255539,1.18440092,3.29865456,530.05582129210234
1841,101.280785,47.330616,1.11356902,3.68140221,530.06382129248232
1847,101.281647,47.3356781,1.29492819,3.60947871,530.0718212928623
1852,101.277199,47.3255539,1.31342471,3.98016882,530.07982129324228
1857,101.282646,47.3255539,1.26650751,3.52649069,530.08782129362226
1865,101.287102,47.3356781,1.35943997,3.15531754,530.09579687518999
1871,101.282646,47.3255539,1.31928921,3.52649069,530.10779687575996
1876,101.284378,47.3356781,1.34771061,3.3821435,530.11579687613994
1884,101.277199,47.3255539,1.09056246,3.98016882,530.1317968768999
1890,101.284378,47.3356781,0.954755247,3.3821435,530.13979687727988
1895,101.288101,47.3255539,1.17267132,3.07183075,530.14779687765986
1900,101.278923,47.3356781,0.972351253,3.83631682,530.15579687803984
1906,101.281647,47.3356781,1.28906333,3.60947871,530.16779687860981
1914,101.279922,47.3255539,1.43657923,3.75332642,530.17579687898979
1917,101.287102,47.3356781,1.50018883,3.15531754,530.18379687936977
1923,101.282646,47.3255539,1.17853606,3.52649069,530.1917724609375
1928,101.284378,47.3356781,1.37116921,3.3821435,530.19977246131748
1937,101.281647,47.3356781,1.52951086,3.60947871,530.21977246226743
1942,101.288971,47.330616,1.37748432,2.99940944,530.22777246264741
1947,101.284378,47.3356781,1.16003597,3.3821435,530.23577246302739
1950,101.282646,47.3255539,1.26064277,3.52649069,530.24377246340737
1955,101.288971,47.330616,1.65897191,2.99940944,530.25177246378735
1966,101.283516,47.330616,0.984536529,3.45406532,530.26777246454731
1972,101.284378,47.3356781,1.16003597,3.3821435,530.27974047861062
1976,101.282646,47.3255539,1.11402237,3.52649069,530.2877404789906
1982,101.281647,47.3356781,1.23627996,3.60947871,530.29574804706499
1985,101.280785,47.330616,1.2777853,3.68140221,530.30374804744497
1990,101.277199,47.3255539,1.19026577,3.98016882,530.31174804782495
1995,101.284378,47.3356781,1.07792509,3.3821435,530.31974804820493
2001,101.289833,47.3356781,1.31252241,2.92799449,530.3317480487749
2006,101.284378,47.3356781,0.866774142,3.3821435,530.33974804915488
2021,101.286102,47.3458061,1.08874822,3.23830175,530.3717480506748
2027,101.284378,47.3356781,1.40635693,3.3821435,530.38374805124477
2033,101.287964,47.340744,1.14198792,3.08339834,530.39181518554688
2039,101.277199,47.3255539,1.27823687,3.98016882,530.39981518592685
2043,101.284378,47.3356781,1.30079293,3.3821435,530.40781518630683
2048,101.294418,47.330616,1.43612945,2.545784,530.41581518668681
2051,101.284378,47.3356781,1.06619489,3.3821435,530.42381518706679
2055,101.278923,47.3356781,1.41808605,3.83631682,530.43181518744677
2062,101.282509,47.340744,1.46455264,3.53755569,530.44381518801674
2067,101.284378,47.3356781,1.03686905,3.3821435,530.45181518839672
2072,101.288971,47.330616,1.3716197,2.99940944,530.4598151887767
2075,101.282646,47.3255539,1.53040838,3.52649069,530.46781518915668
2080,101.286102,47.3458061,1.16499543,3.23830175,530.47581518953666
2083,101.284378,47.3356781,1.62920368,3.3821435,530.48381518991664
2093,101.278923,47.3356781,1.04273415,3.83631682,530.49579077167436
2104,101.284378,47.3356781,1.48845994,3.3821435,530.5197907728143
2109,101.289833,47.3356781,1.13657594,2.92799449,530.52779077319428
2114,101.284378,47.3356781,1.19522572,3.3821435,530.53579077357426
2117,101.290695,47.340744,1.28861201,2.85607743,530.54379077395424
2125,101.287102,47.3356781,1.20695555,3.15531754,530.55579077452421
2128,101.284378,47.3356781,1.00754285,3.3821435,530.56379077490419
2132,101.295288,47.3356781,1.39462769,2.47336721,530.57179077528417
2137,101.284378,47.3356781,1.20695555,3.3821435,530.57979077566415
2142,101.289833,47.3356781,1.59401834,2.92799449,530.58779077604413
2148,101.284378,47.3356781,1.0837903,3.3821435,530.59576635761186
2159,101.281647,47.3356781,1.46500218,3.60947871,530.61576635856181
2162,101.28524,47.340744,1.41763604,3.31022239,530.62376635894179
2167,101.280785,47.330616,1.50063789,3.68140221,530.63176635932177
2173,101.286102,47.3458061,1.01836467,3.23830175,530.63976635970175
2177,101.281647,47.3356781,1.07205999,3.60947871,530.64776636008173
2181,101.278923,47.3356781,1.57056117,3.83631682,530.65576636046171
2195,101.281647,47.3356781,1.28906333,3.60947871,530.68376636179164
2203,101.286102,47.3458061,1.20605099,3.23830175,530.69174194335938
2208,101.289833,47.3356781,1.52364647,2.92799449,530.69974194373935
2213,101.279785,47.340744,1.28861201,3.76439166,530.70774194411933
2219,101.284378,47.3356781,1.23041511,3.3821435,530.7197419446893
2223,101.273468,47.3356781,1.34771061,4.29051447,530.72774194506928
2229,101.279785,47.340744,1.07160628,3.76439166,530.73574194544926
2232,101.286102,47.3458061,1.07701766,3.23830175,530.74374194582924
2237,101.283379,47.3458061,0.971441448,3.46513009,530.75174194620922
2242,101.284378,47.3356781,1.12484586,3.3821435,530.7597419465892
2248,101.277924,47.3458061,1.24710596,3.91981101,530.77174194715917
2253,101.282646,47.3255539,1.50108695,3.52649069,530.77974194753915
2258,101.278923,47.3356781,0.984081805,3.83631682,530.78774194791913
2264,101.280647,47.3458061,1.26470089,3.69297051,530.79580908222124
2268,101.284378,47.3356781,1.16590095,3.3821435,530.80380908260122
2273,101.287102,47.3356781,1.0192734,3.15531754,530.8118090829812
2276,101.278923,47.3356781,1.6995734,3.83631682,530.81980908336118
2281,101.286102,47.3458061,1.17086053,3.23830175,530.83180908393115
2287,101.278923,47.3356781,1.48845994,3.83631682,530.83980908431113
2292,101.279785,47.340744,1.04228008,3.76439166,530.84780908469111
2298,101.281647,47.3356781,1.13657594,3.60947871,530.85580908507109
2301,101.284378,47.3356781,1.17176592,3.3821435,530.86380908545107
2306,101.280647,47.3458061,1.07701766,3.69297051,530.87180908583105
2312,101.291557,47.3458061,1.60485089,2.78416085,530.88380908640102
2319,101.284378,47.3356781,1.19522572,3.3821435,530.89178466796875
2328,101.290695,47.340744,1.18304324,2.85607743,530.90778466872871
2333,101.280647,47.3458061,1.56966448,3.69297051,530.91578466910869
2336,101.278923,47.3356781,0.972351253,3.83631682,530.92378466948867
2341,101.284378,47.3356781,1.42981505,3.3821435,530.93178466986865
2353,101.286102,47.3458061,1.24124098,3.23830175,530.9517846708186
2358,101.280647,47.3458061,1.22951102,3.69297051,530.95978467119858
2363,101.279785,47.340744,0.924973071,3.76439166,530.96778467157856
2367,101.289696,47.3508682,1.26424921,2.93905878,530.97578467195854
2370,101.290695,47.340744,0.77246809,2.85607743,530.98378467233852
2378,101.278923,47.3356781,1.30079293,3.83631682,530.99576025409624
2382,101.278061,47.330616,1.25432634,3.90824246,531.00376025447622
2386,101.280647,47.3458061,1.41132128,3.69297051,531.0117602548562
2391,101.278923,47.3356781,1.07792509,3.83631682,531.01976025523618
2396,101.284378,47.3356781,1.45327318,3.3821435,531.02776025561616
2402,101.280647,47.3458061,1.41132128,3.69297051,531.03576025599614
2405,101.279785,47.340744,1.4059068,3.76439166,531.04376025637612
2413,101.284378,47.3356781,1.47673106,3.3821435,531.05576025694609
2418,101.277924,47.3458061,1.00663388,3.91981101,531.06376025732607
2423,101.284378,47.3356781,1.51191771,3.3821435,531.07176025770605
2428,101.28524,47.340744,1.37658346,3.31022239,531.07976025808603
2433,101.286964,47.3508682,1.48711228,3.1668849,531.08776025846601
2440,101.28524,47.340744,1.42936528,3.31022239,531.09573584003374
2446,101.286102,47.3458061,1.00663388,3.23830175,531.10773584060371
2451,101.278923,47.3356781,1.14830601,3.83631682,531.11573584098369
2454,101.286102,47.3458061,1.05355656,3.23830175,531.12373584136367
2459,101.287102,47.3356781,1.31252241,3.15531754,531.13173584174365
2465,101.281509,47.3508682,1.36981773,3.62104678,531.13973584212363
2469,101.286964,47.3508682,1.07069862,3.1668849,531.14773584250361
2475,101.283379,47.3458061,1.19432092,3.46513009,531.15973584307358
2480,101.280647,47.3458061,1.06528711,3.69297051,531.16773584345356
2485,101.28524,47.340744,1.03054953,3.31022239,531.17573584383354
2488,101.286102,47.3458061,1.51101971,3.23830175,531.18373584421352
2492,101.280647,47.3458061,1.44064474,3.69297051,531.19180297851563
2502,101.278923,47.3356781,1.14830601,3.83631682,531.20780297927558
2508,101.275192,47.3458061,1.3819977,4.14716053,531.21980297984555
2513,101.276192,47.3356781,1.28906333,4.06366444,531.22780298022553
2519,101.282509,47.340744,1.2416929,3.53755569,531.23580298060551
2522,101.280647,47.3458061,1.44064474,3.69297051,531.24380298098549
2527,101.284378,47.3356781,1.25387454,3.3821435,531.25180298136547
2534,101.280647,47.3458061,0.947979629,3.69297051,531.25980298174545
2540,101.279785,47.340744,1.30034161,3.76439166,531.27180298231542
2545,101.281509,47.3508682,1.21732879,3.62104678,531.2798029826954
2550,101.283379,47.3458061,1.17086053,3.46513009,531.28780298307538
2560,101.286102,47.3458061,1.67522264,3.23830175,531.30377856502309
2574,101.28524,47.340744,1.11266243,3.31022239,531.33177856635302
2580,101.284378,47.3356781,1.37703383,3.3821435,531.339778566733
